[z, z^2, z^3, z^4, w*z, z^3*w, x*z, z^2*w, z^2*w^2, z^3*w^2, z^4*w, z*x*w]
[x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, y^2*w, y*x*w, x^2*w*y, x^2*w^2*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[y^2*x, y*x^2, x^2*y^2, z*y^2, z*y*x, y^2*w*x, y^2*w*z, y^2*w^2*z, y^2*x*z, y^2*x^2*w, y*x*w*z, y^2*x*w*z]
[x^2, x^3, x^4, x*z, z^2*x, z*x^2, x^2*z^2, x^3*w, x^3*z, x^4*w, x^2*w*z, x^3*w*z]
[z, z^2, z^3, z^4, w*z, z^3*w, x*z, z^3*x, z^2*w, z^4*w, z*x*w, z*y*w]
[x^2*w, x^3*w, x^3*w^2, z*x*w, x^2*w*y, x^2*w*z, x^2*w^2*z, x^3*y*w, y*w^2*z^2, z^2*w*x, z^2*w*y, x*z^2*y*w]
[1, w, x, y, z, w^2, x^2, z^2, w*z, z*y*x, z*x*w, y*x*w*z]
[y, y^2, y^3, y^4, y*x, y^2*x, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y^3*w*z]
[y^2, y^3, y^4, y^2*x, y^2*w, y^2*w^2, z*y^2, y^3*w, y^3*w^2, y^4*w, y^2*w*x, y^2*w*z]
[y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y, x*w^2*y^2, x^2*w*y, x^3*y*w, y^2*w*x, y^2*w^2*z]
[z^2, z^3, z^4, z^3*w, y*z, z^3*y, z^2*w, z^4*w, z*y*w, y^2*z^2*w, z^2*w*y, z^3*y*w]
[z^3*w, y^2*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, y*w^2*z^2, z*y*w, y^2*w*z, y^2*z^2*w, z^2*w*y, z^3*y*w]
[y^3, y^4, z^2*y, z*y^2, z^2*y^2, y^3*w, y^3*w^2, y^3*z, y^4*w, y^2*w*z, y^2*z^2*w, y^3*w*z]
[z^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, y*w^2*z^2, z*y*w, y^2*w*z, y^2*z^2*w, y^3*w*z, z^2*w*y]
[y^2, y^3, z^3, z^4, z^3*w, y*z, z^2*y, z^3*y, z*y^2, z^2*w, z^4*w, z*y*w]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z^2*y, z^2*w, z^4*w, z^2*y*x, z^2*w*x]
[x^2, x^3, x^4, x*w, x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, x*w^2*y, z*x*w, x^2*w^2*y]
[y^2, y^3, y^4, y*x, y^2*x, y^2*w, y^3*w, y^3*x, y^4*w, y*x*w, y^2*w*x, y^3*x*w]
[1, w, x, y, z, w^2, x^2, y^2, w*z, z*w^2, y*z, z*y*w]
[1, w, x, y, z, w^2, x^2, x^3, y^2, z^2, z^3, y*x]
[y^3, y^4, z^2, z^3, z^4, y*z, z^2*y, z*y^2, y^3*z, z^2*w, z*y*w, y^2*w*z]
[z^3, z^2*y, z^3*y, z*y^2, z^2*y^2, y*w^2*z^2, y^2*w*z, y^2*w^2*z, y^2*z^2*w, y^3*w*z, z^2*w*y, z^3*y*w]
[z^3, z^4, z^3*w, z^2*y, z^3*y, z^3*w^2, z^4*w, y*w^2*z^2, y^2*w*z, y^2*z^2*w, z^2*w*y, z^3*y*w]
[x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, y*x*w, x*w^2*y, x^2*w*y, x^2*w^2*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[1, w, x, y, z, w^2, x^2, x^3, y^2, y^3, z^2, z*x^2]
[x^2, x^3, x^4, x^3*w, x^4*w, y^2*w, y^3*w, y*x*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[y, y^2, y^3, y^4, y*x, y^2*x, y*w, y^2*w, y^3*w, y^4*w, y*x*w, y^2*w*x]
[y^2, y^3, y^4, y*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y^2, y^2*w*x]
[1, w, x, y, z, x^2, z^2, w*z, x*w, y*x, y*z, z^2*w]
[1, w, x, y, z, x^2, z^2, z^3, z^2*x, y*w, y*z, z^2*y]
[1, w, x, y, z, w^2, z*w^2, x*w, y*x, y*x*w, x*w^2*y*z, y*x*w*z]
[x^2, x^3, x^4, x^2*w, x^2*w^2, y*x^2, z*x^2, x^3*w, x^3*w^2, x^3*y, x^4*w, x^3*y*w]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, y*z, z^2*y, z^3*y, z^2*y^2, z^4*w]
[x^2, x^3, x^4, x^2*w, x^2*w^2, y*x^2, x^3*w, x^3*w^2, x^3*z, x^4*w, x^2*w*y, x^3*w*z]
[y^2, y^3, y*x, y^2*x, x^2*w, x^2*y^2, x^3*w, y^2*w, y^3*x, y*x*w, x^2*w*y, y^3*x*w]
[1, w, x, y, z, x^2, y^2, z^2, w*z, x*w, z^2*w, z*x*w]
[z^2, z^3, z^4, z^3*w, z^2*x, z^2*y, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, z^3*y*w]
[z^3*w, x^2*w, x^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, x^2*w*z, x^2*z^2*w, z^2*w*x, z^3*x*w]
[x^2, x^3, x^4, x*w^2, x*w, x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, z*x*w, x^2*w*z]
[z^2, z^3, z^4, z^3*w, z^2*x, z^2*y, z^3*y, z^2*w, z^3*w^2, z^4*w, z^2*w*y, z^3*y*w]
[1, w, x, y, z, y^2, w*z, x*w, y*x, y*x*w, z*x*w, z*y*w]
[1, w, w*z, z^3*w, z^2*y, z^2*w, z^2*w^2, z^3*w^2, y*w^2*z^2, z*y*w, z*y*w^2, z^2*w*y]
[x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, z^2*w, y*x*w, z*x*w, x^2*w*y, x^2*w*z, x^2*z^2*w, z^2*w*x]
[1, w, x, y, z, w^2, x^2, x^3, y*x^2, y*w, y*z, z*y^2]
[x^2, x^3, x^4, y*x, x^2*w, y*x^2, x^3*w, x^3*y, x^4*w, y*x*w, x^2*w*y, x^3*w*z]
[x^2, x^3, x^4, y*x, y*x^2, x^3*w, x^3*y, y*x*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[x^2*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y, x*w^2*y^2, x^2*w*y, y^2*w*x, y^3*x*w]
[x^2, x^3, x^4, y^2, y^3, y^4, y*x, y^2*x, y*x^2, x^2*y^2, y^3*w, y^3*x]
[1, w, x, y, z, x^2, y^2, x*w, x*z, x^2*w, y*z, z*y*w]
[z^2, z^3, z^4, z^3*w, z^2*x, z^3*y, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, z^3*y*w]
[z^2*x, z*x^2, x^2*z^2, x^3*w, x^3*z, x*w^2*z^2, x^2*w*z, x^2*w^2*z, x^2*z^2*w, x^3*w*z, x^3*y*w, z^2*w*x]
[z^3, z^4, z^3*w, z^2*y, z^3*y, z^2*y^2, z^3*w^2, z^4*w, y*w^2*z^2, y^2*z^2*w, z^2*w*y, z^3*y*w]
[x^2, x^3, x^4, z^2, z^3, x*z, z^2*x, z^3*x, z*x^2, x^3*w, x^3*z, z*x*w]
[x^2*w, x^3*w, x^3*w^2, x^4*w, y^2*w, y^3*w, y*x*w, x*w^2*y, x*w^2*y^2, x^2*w*y, x^3*y*w, y^2*w*x]
[x^2, x^3, x^4, x^2*w, y*x^2, x^3*w, x^3*y, x^4*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[x^2*w, x^3*w, x^4*w, y^2*w, y^3*w, y*x*w, x*w^2*y, x*w^2*y^2, x^2*w*y, x^2*w^2*y, x^3*y*w, y^2*w*x]
[x^2, x^3, x^4, y*x, x^2*w, y*x^2, x^3*w, y*x*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[z^2, z^3, z^4, w*z, z^3*w, z*w^2, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, z*x*w]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z*x^2, x^2*z^2, z^2*w, z^4*w, z*x*w, x^2*w*z]
[1, w, x, y, z, w^2, z^2, w*z, z^2*y, z^2*w, y*w^2*z^2, z^2*w*y]
[x, x^2, x^3, x^4, y*x, x^2*w, z*x^2, x^3*w, x^3*z, x^4*w, y*x*w, x^3*w*z]
[x^2, x^3, x^4, x^2*w, x^2*w^2, y*x^2, z*x^2, x^3*w, x^3*w^2, x^4*w, x^2*w*y, x^2*w^2*y]
[y^2*w, y^3*w, y^3*w^2, y^4*w, z^2*w, y*x*w, z*y*w, y^2*w*x, y^2*w*z, y^2*w^2*z, y^3*w*z, z^2*w*y]
[z^3*w, z^2*y, z*y^2, z^2*y^2, z^4*w, y*w^2*z^2, y^2*w*z, y^2*w^2*z, y^2*z^2*w, y^3*w*z, z^2*w*y, z^3*y*w]
[z^3*w, x^2*w, x^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, z*x*w, x^2*w*z, z^2*w*x, z^3*x*w]
[x^3, x^4, y*x^2, x^2*y^2, x^3*w, x^3*w^2, x^3*y, x^4*w, x^2*w*y, x^2*w^2*y, x^3*y*w, y^2*x^2*w]
[1, w, x, y, z, w^2, x^2, y^2, y^3, w*z, x*w, y*w]
[1, x, y, z, x^2, x^3, y^2, y^3, z^2, y*z, z*y^2, z*y*x]
[y, y^2, y^3, y^4, y*x, y^2*x, y*w, y^2*w, y^3*w, y^4*w, y*x*w, z*y*w]
[y^3, y^4, z^2, y*z, z^2*y, z^3*y, z*y^2, y^3*z, z^2*w, y^2*w*z, y^2*z^2*w, z^2*w*y]
[y^3, z*y^2, z^2*y^2, y^3*w, y^3*w^2, y^3*z, y^4*w, y^2*w*z, y^2*w^2*z, y^2*z^2*w, y^3*w*z, z^2*w*y]
[z^2, z^3, z^4, w*z, z^3*w, z*w^2, z^2*w, z^2*w^2, z^3*w^2, z^4*w, z*x*w, z^2*w*x]
[z^2, z^3, x*z, z^2*x, z*x^2, x^2*z^2, y*z, z^2*y, z*y*x, z^2*y*x, z*x*w, z^2*w*y]
[z^3, z^4, z^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, y*w^2*z^2, z^2*w*x, z^2*w*y, z^3*y*w]
[z^3*w, x^2*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, x^2*w*z, x^2*z^2*w, z*x*w^2, z^2*w*x, z^3*x*w]
[x^2, x^3, x^4, y*x, y^2*x, x*z, z^2*x, x^2*w, y*x^2, z*x^2, x^3*y, x^3*z]
[x^3, x^4, z^2*x, z*x^2, x^2*z^2, x^3*w, x^3*w^2, x^3*z, x^4*w, x^2*w*z, x^2*z^2*w, x^3*w*z]
[y^3, y^2*x, x^2*y^2, y^3*w, y^3*w^2, x*w^2*y^2, x^2*w*y, x^2*w^2*y, y^2*w*x, y^2*x^2*w, y^3*x*w, y^2*x*w*z]
[z^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, x^2*z^2*w, y*w^2*z^2, z*y*w, z^2*w*x, z^2*w*y, z^3*x*w]
[1, w, x, y, z, x^2, w*z, x*w, x^2*w, y*w, y^2*w, y*x*w]
[y^2, y^3, y^4, y*z, z^2*y, z^3*y, y^2*w, z*y^2, y^3*z, z*y*w, y^2*w*z, y^3*w*z]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z*x^2, z^2*y, z*y*x, z*x*w, z^2*w*x]
[y^2, y^3, y^4, x^2*w, x^3*w, y^2*w, y^3*w, y^4*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[z^2*x, z*x^2, x^2*z^2, x^3*w, x^3*w^2, x^3*z, x^2*w*z, x^2*w^2*z, x^2*z^2*w, x^3*w*z, z^2*w*x, z^3*x*w]
[z^2, z^3, z^4, w*z, z^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, y*w^2*z^2, z^2*w*y]
[z^2, z^3, z^4, z^3*w, y*z, z^2*y, z^3*y, z*y^2, z^2*w, z*y*w, y^2*z^2*w, z^2*w*y]
[z^2, z^3, z^4, z^3*w, z^2*x, z^2*y, z^2*w, z^2*w^2, z^3*w^2, z^4*w, y*w^2*z^2, z^2*w*x]
[z^2, z^3*w, x*z, z^2*x, x^2*w, x^3*w, z^4*w, x^2*w*z, x^2*z^2*w, x^3*w*z, z^2*w*x, z^3*x*w]
[y, y^2, y^3, y^4, y*x, y^2*x, y^2*w, y^3*w, y^3*w^2, y^4*w, y*x*w, y^2*w*x]
[x^3, y^2, y^3, y^4, y*x, y^2*x, y*x^2, x^3*y, y^2*w, y^3*w, y^3*x, y^3*x*w]
[x^2, x^3, z^2, z^3, x*z, z^2*x, x^2*w, z*x^2, x^3*z, z*y*x, z*x*w, x^2*w*z]
[z^3, z^4, w*z, z^3*w, z*w^2, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, y*w^2*z^2, z*x*w^2]
[x^2, x^3, x^4, x^2*w, x^2*w^2, y*x^2, x^3*w, x^3*w^2, x^4*w, x^2*w*y, x^2*w*z, x^2*w^2*y]
[z^3*w, x^2*w, x^3*w, x^4*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, x^2*w*z, x^2*z^2*w, z^2*w*x, z^3*x*w]
[1, w, x, y, z, w^2, x^2, x^3, y^2, y^3, x^3*w, y^2*w]
[x^2*w, x^3*w, y^2*w, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y^2, x^2*w*y, y^2*w*x, y^2*x^2*w, y^3*x*w]
[y^2, y^3, y^4, z^3, y*z, z^2*y, z^3*y, z*y^2, z^2*y^2, y^3*w, y^3*z, z*y*w]
[x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, y*x*w, x*w^2*y^2, x^2*w*y, x^2*w^2*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[x, x^2, x^3, x^4, x*w, y*x, x^2*w, z*x^2, x^3*w, x^3*z, x^4*w, x^2*w*y]
[y, y^2, y^3, y^4, y*x, y^2*x, y*w, y^2*w, z*y^2, y^3*w, y^3*z, y^4*w]
[z^2, z^3, z^4, z^3*w, z^2*x, z^2*y, z^3*y, z^2*w^2, z^3*w^2, z^4*w, z^2*w*x, z^3*y*w]
[z^2, z^3, z^3*w, z^2*x, y*x^2, z*x^2, x^2*z^2, z*y*x, z^2*y*x, x^2*y*z, z^2*w*x, z^3*x*w]
[x, x^2, x^3, x^4, x*w, y*x, x^2*w, y*x^2, x^3*w, x^3*y, x^4*w, z*x*w]
[x^2, x^3, x^4, x*z, z^2*x, z^3*x, x^2*w, z*x^2, x^3*w, x^3*z, x^4*w, z*x*w]
[y^2, y^3, y^4, y^2*x, y^2*w, y^3*w, y^4*w, y*x*w, y^2*w*x, y^2*w*z, y^3*w*z, y^3*x*w]
[x^2, z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z*x^2, x^2*z^2, z^4*w, z*y*x]
[1, x, y, z, x^2, x^3, y^2, y^3, x*z, y*z, z*y^2, z*y*x]
[x, x^2, x^3, x^4, x*w, y*x, x*z, x^2*w, y*x^2, x^3*w, x^3*y, x^4*w]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z*x*w, x^2*w*z, x^2*z^2*w, z^2*w*x, z^3*x*w]
[z^2, z^3, z^4, z^3*w, z^2*x, z^3*x, z^2*w, z^2*w^2, z^3*w^2, z^4*w, z^2*w*y, z^3*x*w]
[y^2, y^3, y^4, y*x, y^2*x, y*x^2, y^2*w, z*y^2, y^4*w, y*x*w, y^2*w*x, y^2*x*z]
[y*x, y^2*x, y*x^2, y^2*w, y^3*w, y^4*w, y*x*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w, y^3*x*w]
[z^3, z^4, z^3*w, z^2*x, z^3*x, z*x^2, z^3*w^2, z^4*w, x^2*w*z, x^2*z^2*w, z^2*w*x, z^3*x*w]
[x^2, x^3, x^4, y^2, y*x, y^2*x, x^2*w, y*x^2, x^3*z, y*x*w, z*x*w, x^2*w*z]
[x^2, y*x, y^2*x, y*x^2, x^2*y^2, x^3*w, y*x*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w, y^3*x*w]
[z^3*w, z^2*w, z^2*w^2, z^3*w^2, y*w^2*z^2, z*y*w, y^2*w*z, y^2*w^2*z, y^2*z^2*w, z*y*w^2, z^2*w*y, z^3*y*w]
[y^2, y^3, y^4, y*z, z^2*y, z*y^2, y^4*w, z*y*w, y^2*w*z, y^2*z^2*w, z^2*w*y, z^3*y*w]
[x^2, x^3, x^4, x*z, z^2*x, x^2*w, z*x^2, x^2*z^2, x^3*w, x^4*w, x^2*w*z, x^3*w*z]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z*x^2, x^2*z^2, z^2*w, z*x*w, z^3*x*w]
[z, z^2, z^3, z^4, w*z, z^3*w, x*z, z^2*x, z^2*w, z^4*w, z*x*w, z*y*w]
[1, x, z, x^2, x^3, z^2, z^3, y*x, x*z, z^2*x, z^2*y, z*y*x]
[x^2, x^3, x^4, x*w^2, x*w, x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, y*x*w, x^2*w*y]
[x^2*w, x^3*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y^2, x^2*w*y, x^2*w^2*y, y^2*w*x]
[x^2, x^3, x^4, y^2, y^2*x, y*x^2, x^2*y^2, x^3*w, x^2*w*y, x^3*y*w, y^2*w*x, y^2*x^2*w]
[z^3*w, y^2*w, y^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, y*w^2*z^2, z*y*w, y^2*w*z, z^2*w*y, z^3*y*w]
[x^2, y*x, x*z, z^2*x, x^2*w, z^2*y, z*y*x, z^2*y*x, z*x*w, x^2*w*z, x^2*z^2*w, z^2*w*x]
[z^2, z^3, y*x, x*z, z^2*x, z^3*x, z*x^2, z^2*y, y*x*w, z*y*x, z^2*y*x, z^2*w*x]
[z^3*w, x^2*w, x^3*w, z^2*w, z^3*w^2, z^4*w, x*w^2*z^2, x^2*w*z, x^2*z^2*w, y*w^2*z^2, z^2*w*x, z^2*w*y]
[z^2, z^3, z^4, z^3*w, y*z, z^2*y, z^3*y, z*y^2, z*y*w, y^2*w*z, z^2*w*y, z^3*y*w]
[z^3*w, y^2*w, y^3*w, y^3*w^2, y^4*w, z^2*w, y*w^2*z^2, z*y*w, y^2*w*z, y^3*w*z, z*y*w^2, z^2*w*y]
[y^2, y^3, y^4, z^2, z^3, y*z, z^2*y, z^3*y, y^2*w, z*y^2, z^2*y^2, z*y*w]
[1, w, x, y, z, x^2, y^2, y^3, z^2, w*z, z^3*w, z^2*w]
[x^2, x^3, x^4, x*w, x^2*w, y*x^2, z*x^2, x^3*w, x^3*y, x^4*w, y*x*w, x^2*w*y]
[x^2*w, x^3*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y^2, x^2*w*y, y^2*w*x, y^2*x^2*w]
[x^2, z^2, z^3, z^4, x*z, z^2*x, z^3*x, z*x^2, z^2*w, z^4*w, z*x*w, x^2*w*z]
[y^2, y^3, y^4, y*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y^2*w*x, y^2*w*z, y^3*w*z]
[z^3, z^4, z^3*w, z^2*x, z^3*x, z^3*y, z^3*w^2, z^4*w, z^2*w*x, z^3*x*w, z^3*y*w, x*z^2*y*w]
[y^2, y^3, y^4, z^2, y*z, z^2*y, y^2*w, z*y^2, z^2*y^2, y^3*w, y^3*z, y^4*w]
[y^2, y^3, y^4, y^2*x, y^2*w, y^2*w^2, z*y^2, y^3*w, y^3*w^2, y^4*w, x*w^2*y^2, y^2*w*z]
[y^3, y^4, z*y^2, y^3*w, y^3*w^2, y^3*z, y^4*w, y^2*w*z, y^2*w^2*z, y^2*z^2*w, y^3*w*z, z^2*w*y]
[z^2, z^3, z^4, w*z, z^3*w, z^2*w, z^2*w^2, z^3*w^2, z^4*w, x*w^2*z^2, z*x*w, z^2*w*x]
[z^2, z^3, z^2*x, y*z, z^2*y, z*y^2, z^2*y^2, z*y*x, z^2*y*x, z*y*w, y^2*w*z, y^2*x*z]
[z^3*w, y^2*w, y^3*w, y^3*w^2, y^4*w, z^2*w, z^3*w^2, z*y*w, y^2*w*z, y^2*z^2*w, y^3*w*z, z^2*w*y]
[z^3, z^4, z^3*w, z^2*x, z^3*x, z^3*w^2, z^4*w, x*w^2*z^2, x^2*w*z, x^2*z^2*w, z^2*w*x, z^3*x*w]
[z^3*w, y^2*w^2, y^3*w^2, z^2*w, z^2*w^2, z^3*w^2, z^4*w, y*w^2*z^2, y^2*w*z, y^2*w^2*z, z*y*w^2, z^2*w*y]
[x^2*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y*x*w, x*w^2*y, x*w^2*y^2, x^2*w*y, y^2*w*x, y^2*w*z, y^2*w^2*z]
[y^2*w, y^3*w, y^3*w^2, y^4*w, z^2*w, y*w^2*z^2, z*y*w, y^2*w*z, y^3*w*z, z*y*w^2, z^2*w*y, z^3*y*w]
[1, w, z^2, z^3, w*z, z^3*w, z^2*w, x*w^2*z^2, z*y*w, y^2*w*z, z^2*w*x, z^2*w*y]
[1, w, x, y, z, x^2, y^2, w*z, x*w, y*x, y*z, z*y*w]
[z^3, z^4, z^3*w, z^2*y, z*y^2, z^4*w, y*w^2*z^2, y^2*w*z, y^2*z^2*w, y^3*w*z, z^2*w*y, z^3*y*w]
[x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, z*x*w, x^2*w*z, x^2*w^2*z, x^2*z^2*w, x^3*w*z, z^2*w*x, z^3*x*w]
[w, w^2, w*z, y*w^2, y*w, z*y*x, z*x*w, x^2*w*z, z*y*w, y^2*w*z, z*y*w^2, y*x*w*z]
[x^2, x^3, x^4, y^2, y^3, y^2*x, y*x^2, x^2*y^2, x^3*w, x^3*y, x^4*w, y^3*z]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z*x^2, x^2*z^2, z*y*x, z*x*w, z^2*w*x, z^3*x*w]
[x^2, x^3, x^4, x*w^2, x*w, x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, y*x*w, x^2*w^2*y]
[1, w, x, y, z, x^2, y^2, z^2, w*z, y*w, y*z, z*y*w]
[y^2, y^3, y^4, y^2*x, y^2*w, z*y^2, y^3*w, y^3*w^2, y^4*w, y^2*w*z, y^2*w^2*z, y^3*x*w]
[z, z^2, z^3, z^4, w*z, z^3*w, z^2*x, z^2*y, z^3*y, z^2*w, z^3*w^2, z^4*w]
[y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, z*y*w, y^2*w*x, y^2*w*z, y^2*w^2*z, y^2*z^2*w, y^3*w*z, y^3*x*w]
[x^2*w, x^2*w^2, x^3*w, x^3*w^2, x^4*w, y*x*w, x^2*w*y, x^2*w*z, x^2*w^2*y, x^2*w^2*z, x^2*z^2*w, x^3*y*w]
[z^3*w, z^2*w, z^3*w^2, z^4*w, x*w^2*z^2, z*x*w, x^2*w*z, x^2*z^2*w, x^3*w*z, z^2*w*x, z^3*x*w, y*x*w*z]
[x^2, x^3, x^4, z^2, z^3, z^3*w, x*z, z^2*x, z^3*x, z*x^2, x^3*z, z^3*y]
[y^2, y^3, y^4, y^2*x, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, x*w^2*y^2, y^2*w*x, y^3*x*w]
[1, w, x, y, z, x^2, y^2, z^2, y*z, y^2*w, z^2*w, z*y*w]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z^2*w, z*x*w, x^2*w*z, x^2*z^2*w, z^2*w*x]
[1, w, x, y, z, y^2, y^3, y^2*w, z*y^2, y^3*w, y^3*w^2, y^2*w*z]
[x^2, x^3, y^2, y^3, y^4, y*x, y^2*x, x^2*w, y*x^2, x^2*y^2, y^2*w, y^3*w]
[1, w, x, z, x^2, w*z, y*w, y^2*w, z^2*w, y*x*w, z*x*w, z*y*w]
[x^3, x^4, z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z*x^2, x^3*z, z^3*x*w]
[z, z^2, z^3, z^4, w*z, z^3*w, x*z, z^2*w, z^4*w, z*x*w, z*y*w, z^2*w*y]
[x^2, x^3, x^4, y*x, y^2*x, x^2*w, y*x^2, x^3*w, x^4*w, y*x*w, z*y*x, x^2*w*y]
[z, z^2, z^3, z^4, w*z, z^3*w, z^2*x, z^3*x, z^2*w, z^4*w, z*x*w, z*y*w]
[y, y^2, y^3, y^4, y*x, y^2*x, y*w, y^2*w, y^3*w, y^3*w^2, y^3*x, y^4*w]
[x, x^2, x^3, x^4, x*w, y*x, x^2*w, y*x^2, z*x^2, x^3*w, x^4*w, z*x*w]
[x^2, y^2, y^3, y^4, y*x, y^2*x, y*x^2, y^2*w, z*y^2, y^3*x, y^3*z, z*y*x]
[x^2*w, x^3*w, x^3*w^2, y^2*w, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y, x*w^2*y^2, x^2*w*y, y^2*w*x]
[x^3, x^4, y^2*x, y*x^2, x^2*y^2, x^3*w, x^3*w^2, x^3*y, x^4*w, x^2*w*y, x^3*y*w, y^2*x^2*w]
[x^2, x^3, y^2, y^3, y^4, y*x, y^2*x, x^2*w, y*x^2, y*x*w, x^2*w*y, y^2*w*x]
[y^2, y^3, y^4, y*x, y^2*x, y*x^2, y^3*w, y^4*w, x^2*w*y, y^2*w*x, y^2*x^2*w, y^3*x*w]
[x^3, z^2, z^3, z^4, z^3*w, z^2*x, z^3*x, z*x^2, x^2*z^2, x^3*z, z^2*w, z^4*w]
[y^2, y^3, y^4, y*x, y^2*x, y*x^2, x^2*y^2, y^2*w, y^3*w, y*x*w, y^2*x^2*w, y^3*x*w]
[y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, z^2*w, z*y*w, y^2*w*z, y^2*w^2*z, y^2*z^2*w, y^3*w*z, z^2*w*y]
[y^2, y^3, z^2, y*z, z^2*y, z^3*y, y^2*w, z*y*w, y^2*w*z, y^2*z^2*w, z^2*w*y, z^3*y*w]
[y^2, y^3, y*w, y^2*w, y^2*w^2, y^3*w, y^3*w^2, y^4*w, y*x*w, x*w^2*y, x*w^2*y^2, z*y*w]
[y^2, y^3, y^4, y*x, y^2*x, x^2*w, y*x^2, x^2*y^2, y^3*x, y*x*w, x^2*w*y, x^3*y*w]
[z, z^2, z^3, z^4, w*z, z^3*w, x*z, z^2*x, y*z, z^2*w, z^4*w, z*x*w]
[z^2, z^3, z^4, z^3*w, z^2*x, z^2*y, z^3*y, z^2*w, z^2*w^2, z^3*w^2, z^4*w, z^3*y*w]
[y^2, y^3, y^4, y*x, y^2*x, y*w, y^2*w, y^3*w, y^4*w, y*x*w, y^2*w*x, y^3*w*z]
[z^2, z^3, z^4, z^3*w, z^2*y, z*y^2, z^2*y^2, z^2*w, z*y*w, y^2*w*z, y^2*z^2*w, z^2*w*y]
[z^2, z^3, z^4, z^3*w, x*z, z^2*x, z^3*x, z^2*w, z^4*w, z*x*w, x^2*w*z, z^2*w*x]
